id,amount,currency,status,order_id,invoice_id,international,method,amount_refunded,amount_transferred,refund_status,captured,description,card_id,card,bank,wallet,vpa,email,contact,notes,fee,tax,error_code,error_description,created_at,card_type,card_network
pay_Jo5HyeO7jbRw5G,5.0,INR,refunded,,,0.0,bank_transfer,5.0,0.0,full,0.0,,,,,,,gaurav.kumar@example.com,919900990099,[],,,,,44568.704618055555,,
pay_JpAZJjN9O1lKuG,1.0,INR,captured,,,0.0,bank_transfer,0.0,0.0,,1.0,,,,,,,gaurav.kumar@example.com,919900990099,[],0.01,0.0,,,44658.44689814815,,
pay_JplURqgXFx9fjl,1.0,INR,refunded,,,0.0,bank_transfer,1.0,0.0,full,0.0,,,,,,,gaurav.kumar@example.com,919900990099,[],,,,,44688.95179398148,,
pay_JqOMwEJAMxIjFr,1.0,INR,refunded,,,0.0,bank_transfer,1.0,0.0,full,0.0,,,,,,,gaurav.kumar@example.com,919900990099,[],,,,,44749.536469907405,,
pay_Js8jKwPcFpPRM1,1.0,INR,refunded,,,0.0,bank_transfer,1.0,0.0,full,0.0,,,,,,,gaurav.kumar@example.com,919900990099,[],,,,,44872.95321759259,,
pay_JsPiT6UEff2zgY,1.0,INR,captured,,,0.0,bank_transfer,0.0,0.0,,1.0,,,,,,,gaurav.kumar@example.com,919900990099,[],0.01,0.0,,,44902.64555555556,,
pay_JsPkcf0UQOw7R7,1.0,INR,captured,,,0.0,bank_transfer,0.0,0.0,,1.0,,,,,,,gaurav.kumar@example.com,919900990099,[],0.01,0.0,,,44902.64696759259,,
pay_JsSONS1IvBsDLc,1.0,INR,captured,,,0.0,bank_transfer,0.0,0.0,,1.0,,,,,,,gaurav.kumar@example.com,919900990099,[],0.01,0.0,,,44902.75462962963,,
pay_JsSXj8YPcJERdV,1.0,INR,captured,,,0.0,bank_transfer,0.0,0.0,,1.0,,,,,,,gaurav.kumar@example.com,919900990099,[],0.01,0.0,,,44902.760775462964,,
pay_JsSu2WouXWEBGu,1.0,INR,refunded,,,0.0,bank_transfer,1.0,0.0,full,1.0,,,,,,,gaurav.kumar@example.com,919900990099,[],0.01,0.0,,,44902.77543981482,,
pay_JtbnJeL0Lur3ml,1.0,INR,captured,,,0.0,bank_transfer,0.0,0.0,,1.0,,,,,,,gaurav.kumar@example.com,919900990099,[],0.01,0.0,,,15/07/2022 15:57:31,,
pay_JuqB0ZJZXNbI4F,1.0,INR,captured,,,0.0,bank_transfer,0.0,0.0,,1.0,,,,,,,gaurav.kumar@example.com,919900990099,[],0.01,0.0,,,18/07/2022 18:40:39,,
pay_JvSiNVGfwluj0t,1.0,INR,captured,,,0.0,bank_transfer,0.0,0.0,,1.0,,,,,,,gaurav.kumar@example.com,919900990099,[],0.01,0.0,,,20/07/2022 08:22:36,,
